voter_name,affiliation,first_fwd,first_fwd_2,first_cen,first_g,first_g_2,second_fwd,second_fwd_2,second_cen,second_g,second_g_2,year,award
Jason Jones,The Athletic,Jackson Jr. Jaren (MEM),Mobley Evan (CLE),Lopez Brook (MIL),Holiday Jrue (MIL),Caruso Alex (CHI),Anunoby O.G. (TOR),Antetokounmpo Giannis (MIL),Adebayo Bam (MIA),White Derrick (BOS),Bridges Mikal (BKN),2023,All-Defense
Jeff McDonald,San Antonio Express-News,Adebayo Bam (MIA),Jackson Jr. Jaren (MEM),Lopez Brook (MIL),Holiday Jrue (MIL),Caruso Alex (CHI),Anunoby O.G. (TOR),Green Draymond (GSW),Mobley Evan (CLE),White Derrick (BOS),Brooks Dillon (MEM),2023,All-Defense
Jeff Zillgitt,USA Today,Jackson Jr. Jaren (MEM),Mobley Evan (CLE),Lopez Brook (MIL),Holiday Jrue (MIL),Caruso Alex (CHI),Anunoby O.G. (TOR),Butler Jimmy (MIA),Green Draymond (GSW),White Derrick (BOS),Brooks Dillon (MEM),2023,All-Defense
JJ Redick,ESPN,Jackson Jr. Jaren (MEM),Mobley Evan (CLE),Lopez Brook (MIL),Caruso Alex (CHI),Holiday Jrue (MIL),Anunoby O.G. (TOR),Green Draymond (GSW),Claxton Nic (BKN),White Derrick (BOS),Jones Herbert (NOP),2023,All-Defense
Joe Mussatto,The Oklahoman,Green Draymond (GSW),Jackson Jr. Jaren (MEM),Lopez Brook (MIL),Holiday Jrue (MIL),Caruso Alex (CHI),Butler Jimmy (MIA),Mobley Evan (CLE),Claxton Nic (BKN),Dort Luguentz (OKC),White Derrick (BOS),2023,All-Defense
Joe Vardon,The Athletic,Mobley Evan (CLE),Jackson Jr. Jaren (MEM),Lopez Brook (MIL),Caruso Alex (CHI),Holiday Jrue (MIL),Anunoby O.G. (TOR),Green Draymond (GSW),Adebayo Bam (MIA),White Derrick (BOS),Butler Jimmy (MIA),2023,All-Defense
John Schuhmann,NBA.com,Jackson Jr. Jaren (MEM),Antetokounmpo Giannis (MIL),Lopez Brook (MIL),Caruso Alex (CHI),Holiday Jrue (MIL),Durant Kevin (PHX),Green Draymond (GSW),Claxton Nic (BKN),Brooks Dillon (MEM),White Derrick (BOS),2023,All-Defense
Josh Robbins,The Athletic,Jackson Jr. Jaren (MEM),Mobley Evan (CLE),Lopez Brook (MIL),Holiday Jrue (MIL),Caruso Alex (CHI),Anunoby O.G. (TOR),McDaniels Jaden (MIN),Allen Jarrett (CLE),Smart Marcus (BOS),Bridges Mikal (BKN),2023,All-Defense
Jovan Buha,The Athletic,Jackson Jr. Jaren (MEM),Mobley Evan (CLE),Lopez Brook (MIL),Holiday Jrue (MIL),Caruso Alex (CHI),Green Draymond (GSW),Anunoby O.G. (TOR),Davis Anthony (LAL),White Derrick (BOS),Jones Herbert (NOP),2023,All-Defense
Justin Termine,Sirius Radio,Mobley Evan (CLE),Jackson Jr. Jaren (MEM),Lopez Brook (MIL),Holiday Jrue (MIL),White Derrick (BOS),Anunoby O.G. (TOR),McDaniels Jaden (MIN),Claxton Nic (BKN),Caruso Alex (CHI),Dort Luguentz (OKC),2023,All-Defense
Keith Pompey,Philadelphia Inquirer,Jackson Jr. Jaren (MEM),Anunoby O.G. (TOR),Lopez Brook (MIL),Smart Marcus (BOS),Holiday Jrue (MIL),Antetokounmpo Giannis (MIL),Bridges Mikal (BKN),Embiid Joel (PHI),Thybulle Matisse (POR),Beverley Patrick (CHI),2023,All-Defense
Kelly Iko,The Athletic,Green Draymond (GSW),Jackson Jr. Jaren (MEM),Lopez Brook (MIL),Caruso Alex (CHI),Holiday Jrue (MIL),McDaniels Jaden (MIN),Anunoby O.G. (TOR),Mobley Evan (CLE),Brooks Dillon (MEM),White Derrick (BOS),2023,All-Defense
Kendrick Perkins,ESPN,Jackson Jr. Jaren (MEM),McDaniels Jaden (MIN),Lopez Brook (MIL),Edwards Anthony (MIN),Holiday Jrue (MIL),Antetokounmpo Giannis (MIL),Tucker P.J. (PHI),Embiid Joel (PHI),Murray Dejounte (ATL),Butler Jimmy (MIA),2023,All-Defense
Kevin O'Connor,The Ringer,Jackson Jr. Jaren (MEM),Antetokounmpo Giannis (MIL),Mobley Evan (CLE),Holiday Jrue (MIL),Caruso Alex (CHI),McDaniels Jaden (MIN),Green Draymond (GSW),Claxton Nic (BKN),Brooks Dillon (MEM),Bridges Mikal (BKN),2023,All-Defense
Kevin Pelton,ESPN,Anunoby O.G. (TOR),Jackson Jr. Jaren (MEM),Lopez Brook (MIL),Caruso Alex (CHI),Holiday Jrue (MIL),Green Draymond (GSW),McDaniels Jaden (MIN),Mobley Evan (CLE),White Derrick (BOS),Brooks Dillon (MEM),2023,All-Defense
Khobi Price,Orlando Sentinel,Jackson Jr. Jaren (MEM),Mobley Evan (CLE),Lopez Brook (MIL),Holiday Jrue (MIL),Caruso Alex (CHI),Anunoby O.G. (TOR),McDaniels Jaden (MIN),Adebayo Bam (MIA),White Derrick (BOS),Jones Herbert (NOP),2023,All-Defense
Kristen Ledlow,WarnerMedia,Adebayo Bam (MIA),Jackson Jr. Jaren (MEM),Lopez Brook (MIL),Holiday Jrue (MIL),Smart Marcus (BOS),Antetokounmpo Giannis (MIL),Mobley Evan (CLE),Claxton Nic (BKN),White Derrick (BOS),Caruso Alex (CHI),2023,All-Defense
Kurt Helin,NBCSports.com,Jackson Jr. Jaren (MEM),Anunoby O.G. (TOR),Lopez Brook (MIL),Caruso Alex (CHI),Holiday Jrue (MIL),Antetokounmpo Giannis (MIL),Mobley Evan (CLE),Green Draymond (GSW),White Derrick (BOS),Jones Herbert (NOP),2023,All-Defense
Madeline Kenney,Bay Area News Group,Jackson Jr. Jaren (MEM),Green Draymond (GSW),Lopez Brook (MIL),Holiday Jrue (MIL),White Derrick (BOS),McDaniels Jaden (MIN),Anunoby O.G. (TOR),Mobley Evan (CLE),Caruso Alex (CHI),Bridges Mikal (BKN),2023,All-Defense
Marc Kestecher,ESPN,Jackson Jr. Jaren (MEM),Green Draymond (GSW),Lopez Brook (MIL),Holiday Jrue (MIL),Caruso Alex (CHI),Mobley Evan (CLE),Anunoby O.G. (TOR),Claxton Nic (BKN),White Derrick (BOS),Butler Jimmy (MIA),2023,All-Defense
Mark Jackson,ESPN,Jackson Jr. Jaren (MEM),Antetokounmpo Giannis (MIL),Embiid Joel (PHI),Holiday Jrue (MIL),Smart Marcus (BOS),Anunoby O.G. (TOR),Green Draymond (GSW),Adebayo Bam (MIA),Jones Herbert (NOP),Brooks Dillon (MEM),2023,All-Defense
Matt Winer,WarnerMedia,Mobley Evan (CLE),Jackson Jr. Jaren (MEM),Lopez Brook (MIL),Holiday Jrue (MIL),Caruso Alex (CHI),Anunoby O.G. (TOR),Antetokounmpo Giannis (MIL),Green Draymond (GSW),White Derrick (BOS),Brooks Dillon (MEM),2023,All-Defense
Max Haupt,DPA,Antetokounmpo Giannis (MIL),Adebayo Bam (MIA),Embiid Joel (PHI),Butler Jimmy (MIA),Haliburton Tyrese (IND),Davis Anthony (LAL),Bane Desmond (MEM),Mobley Evan (CLE),Gilgeous-Alexander Shai (OKC),Caruso Alex (CHI),2023,All-Defense
Maxime Aubin,L'Equipe,Jackson Jr. Jaren (MEM),Antetokounmpo Giannis (MIL),Lopez Brook (MIL),Caruso Alex (CHI),White Derrick (BOS),Mobley Evan (CLE),Adebayo Bam (MIA),Embiid Joel (PHI),Smart Marcus (BOS),Brooks Dillon (MEM),2023,All-Defense
Melissa Rohlin,Fox Sports,Green Draymond (GSW),Jackson Jr. Jaren (MEM),Mobley Evan (CLE),Caruso Alex (CHI),Holiday Jrue (MIL),Brooks Dillon (MEM),Anunoby O.G. (TOR),Lopez Brook (MIL),Brooks Dillon (MEM),White Derrick (BOS),2023,All-Defense
Michael C. Wright,NBA.com,Jackson Jr. Jaren (MEM),Mobley Evan (CLE),Lopez Brook (MIL),Holiday Jrue (MIL),White Derrick (BOS),Antetokounmpo Giannis (MIL),Anunoby O.G. (TOR),Adebayo Bam (MIA),Brooks Dillon (MEM),Caruso Alex (CHI),2023,All-Defense
Michael Grange,Rogers Sportsnet,Mobley Evan (CLE),Jackson Jr. Jaren (MEM),Lopez Brook (MIL),Caruso Alex (CHI),Holiday Jrue (MIL),Anunoby O.G. (TOR),Brooks Dillon (MEM),Green Draymond (GSW),Bridges Mikal (BKN),Butler Jimmy (MIA),2023,All-Defense
Michael Pina,The Ringer,Mobley Evan (CLE),Green Draymond (GSW),Lopez Brook (MIL),Holiday Jrue (MIL),Caruso Alex (CHI),Jackson Jr. Jaren (MEM),Anunoby O.G. (TOR),Claxton Nic (BKN),White Derrick (BOS),Brooks Dillon (MEM),2023,All-Defense
Michael Wilbon,ESPN,Jackson Jr. Jaren (MEM),Green Draymond (GSW),Lopez Brook (MIL),Holiday Jrue (MIL),Bridges Mikal (BKN),Mobley Evan (CLE),McDaniels Jaden (MIN),Kessler Walker (UTA),Brooks Dillon (MEM),White Derrick (BOS),2023,All-Defense
Mike Ganter,The Toronto Sun,Anunoby O.G. (TOR),Jackson Jr. Jaren (MEM),Lopez Brook (MIL),Holiday Jrue (MIL),White Derrick (BOS),Adebayo Bam (MIA),Antetokounmpo Giannis (MIL),Mobley Evan (CLE),Brooks Dillon (MEM),Caruso Alex (CHI),2023,All-Defense
Mike Greenberg,ESPN,Adebayo Bam (MIA),Jackson Jr. Jaren (MEM),Lopez Brook (MIL),Holiday Jrue (MIL),Smart Marcus (BOS),Antetokounmpo Giannis (MIL),Anunoby O.G. (TOR),Mobley Evan (CLE),Bridges Mikal (BKN),Brooks Dillon (MEM),2023,All-Defense
Mike Singer,Denver Post,Mobley Evan (CLE),Jackson Jr. Jaren (MEM),Lopez Brook (MIL),White Derrick (BOS),Caruso Alex (CHI),Antetokounmpo Giannis (MIL),Embiid Joel (PHI),Claxton Nic (BKN),Brown Jaylen (BOS),Holiday Jrue (MIL),2023,All-Defense
Ohm Youngmisuk,ESPN,Jackson Jr. Jaren (MEM),Anunoby O.G. (TOR),Lopez Brook (MIL),Holiday Jrue (MIL),Bridges Mikal (BKN),McDaniels Jaden (MIN),Green Draymond (GSW),Claxton Nic (BKN),Butler Jimmy (MIA),White Derrick (BOS),2023,All-Defense
Omari Sankofa,Detroit Free Press,Mobley Evan (CLE),Jackson Jr. Jaren (MEM),Lopez Brook (MIL),Holiday Jrue (MIL),White Derrick (BOS),Anunoby O.G. (TOR),McDaniels Jaden (MIN),Green Draymond (GSW),Brooks Dillon (MEM),Caruso Alex (CHI),2023,All-Defense
Rachel Nichols,Showtime,Jackson Jr. Jaren (MEM),Mobley Evan (CLE),Lopez Brook (MIL),Holiday Jrue (MIL),Caruso Alex (CHI),McDaniels Jaden (MIN),Anunoby O.G. (TOR),Adebayo Bam (MIA),Brooks Dillon (MEM),White Derrick (BOS),2023,All-Defense
Ramona Shelburne,ESPN,Jackson Jr. Jaren (MEM),Mobley Evan (CLE),Lopez Brook (MIL),Holiday Jrue (MIL),White Derrick (BOS),Antetokounmpo Giannis (MIL),Anunoby O.G. (TOR),Green Draymond (GSW),Dort Luguentz (OKC),Bridges Mikal (BKN),2023,All-Defense
Remi Reverchon,beIN Sports,Jackson Jr. Jaren (MEM),Mobley Evan (CLE),Lopez Brook (MIL),Holiday Jrue (MIL),Smart Marcus (BOS),Adebayo Bam (MIA),Antetokounmpo Giannis (MIL),Claxton Nic (BKN),White Derrick (BOS),Caruso Alex (CHI),2023,All-Defense
Ric Bucher,FS1,Green Draymond (GSW),Antetokounmpo Giannis (MIL),Lopez Brook (MIL),Holiday Jrue (MIL),Caruso Alex (CHI),Mobley Evan (CLE),Anunoby O.G. (TOR),Jackson Jr. Jaren (MEM),Bridges Mikal (BKN),Smart Marcus (BOS),2023,All-Defense
Rob Mahoney,The Ringer,Jackson Jr. Jaren (MEM),Mobley Evan (CLE),Lopez Brook (MIL),Holiday Jrue (MIL),Caruso Alex (CHI),Green Draymond (GSW),Anunoby O.G. (TOR),Adebayo Bam (MIA),Brooks Dillon (MEM),White Derrick (BOS),2023,All-Defense
Rod Boone,Charlotte Observer,Adebayo Bam (MIA),Antetokounmpo Giannis (MIL),Jackson Jr. Jaren (MEM),Holiday Jrue (MIL),Bridges Mikal (BKN),Anunoby O.G. (TOR),McDaniels Jaden (MIN),Lopez Brook (MIL),Butler Jimmy (MIA),Smart Marcus (BOS),2023,All-Defense
Ryen Russillo,The Ringer,Mobley Evan (CLE),Jackson Jr. Jaren (MEM),Lopez Brook (MIL),Caruso Alex (CHI),Holiday Jrue (MIL),McDaniels Jaden (MIN),Anunoby O.G. (TOR),Green Draymond (GSW),White Derrick (BOS),Brooks Dillon (MEM),2023,All-Defense
Sam Amick,The Athletic,Jackson Jr. Jaren (MEM),Green Draymond (GSW),Lopez Brook (MIL),Holiday Jrue (MIL),White Derrick (BOS),Mobley Evan (CLE),Antetokounmpo Giannis (MIL),Adebayo Bam (MIA),Caruso Alex (CHI),Brooks Dillon (MEM),2023,All-Defense
Seerat Sohi,The Ringer,Mobley Evan (CLE),Jackson Jr. Jaren (MEM),Lopez Brook (MIL),Caruso Alex (CHI),Holiday Jrue (MIL),Anunoby O.G. (TOR),Antetokounmpo Giannis (MIL),Green Draymond (GSW),Bridges Mikal (BKN),Dort Luguentz (OKC),2023,All-Defense
Shams Charania,The Athletic/Stadium,Jackson Jr. Jaren (MEM),Green Draymond (GSW),Lopez Brook (MIL),Holiday Jrue (MIL),Smart Marcus (BOS),McDaniels Jaden (MIN),Antetokounmpo Giannis (MIL),Adebayo Bam (MIA),Dort Luguentz (OKC),Brooks Dillon (MEM),2023,All-Defense
Shaun Powell,NBA.com,Jackson Jr. Jaren (MEM),Antetokounmpo Giannis (MIL),Lopez Brook (MIL),Brown Jaylen (BOS),Butler Jimmy (MIA),Anunoby O.G. (TOR),Green Draymond (GSW),Adebayo Bam (MIA),Holiday Jrue (MIL),Murray Dejounte (ATL),2023,All-Defense
Stan Van Gundy,WarnerMedia,Jackson Jr. Jaren (MEM),Mobley Evan (CLE),Lopez Brook (MIL),Holiday Jrue (MIL),Dort Luguentz (OKC),Green Draymond (GSW),Jones Herbert (NOP),Allen Jarrett (CLE),Brooks Dillon (MEM),Bridges Mikal (BKN),2023,All-Defense
Stefan Bondy,New York Daily News,Jackson Jr. Jaren (MEM),Antetokounmpo Giannis (MIL),Adebayo Bam (MIA),Holiday Jrue (MIL),Smart Marcus (BOS),Mobley Evan (CLE),Butler Jimmy (MIA),Green Draymond (GSW),Caruso Alex (CHI),Brooks Dillon (MEM),2023,All-Defense
Stephanie Ready,WarnerMedia,Embiid Joel (PHI),Antetokounmpo Giannis (MIL),Jackson Jr. Jaren (MEM),Thybulle Matisse (POR),Holiday Jrue (MIL),Adebayo Bam (MIA),Mobley Evan (CLE),Lopez Brook (MIL),Brooks Dillon (MEM),Smart Marcus (BOS),2023,All-Defense
Stephen A. Smith,ESPN,Jackson Jr. Jaren (MEM),Mobley Evan (CLE),Lopez Brook (MIL),Holiday Jrue (MIL),Smart Marcus (BOS),Green Draymond (GSW),Antetokounmpo Giannis (MIL),Davis Anthony (LAL),Caruso Alex (CHI),Wright Delon (WAS),2023,All-Defense
Steve Aschburner,NBA.com,Jackson Jr. Jaren (MEM),Mobley Evan (CLE),Lopez Brook (MIL),Holiday Jrue (MIL),Caruso Alex (CHI),Antetokounmpo Giannis (MIL),McDaniels Jaden (MIN),Green Draymond (GSW),Brooks Dillon (MEM),White Derrick (BOS),2023,All-Defense
Steve Smith,WarnerMedia,Jackson Jr. Jaren (MEM),Mobley Evan (CLE),Lopez Brook (MIL),Holiday Jrue (MIL),Bridges Mikal (BKN),Green Draymond (GSW),Antetokounmpo Giannis (MIL),Claxton Nic (BKN),White Derrick (BOS),Brooks Dillon (MEM),2023,All-Defense
Taylor Rooks,Bleacher Report,Green Draymond (GSW),Jackson Jr. Jaren (MEM),Lopez Brook (MIL),White Derrick (BOS),Holiday Jrue (MIL),Adebayo Bam (MIA),Mobley Evan (CLE),Claxton Nic (BKN),Caruso Alex (CHI),Brooks Dillon (MEM),2023,All-Defense
Tim Bontemps,ESPN,Jackson Jr. Jaren (MEM),Green Draymond (GSW),Lopez Brook (MIL),Holiday Jrue (MIL),Caruso Alex (CHI),Anunoby O.G. (TOR),McDaniels Jaden (MIN),Davis Anthony (LAL),White Derrick (BOS),Brooks Dillon (MEM),2023,All-Defense
Tim Reynolds,Associated Press,Antetokounmpo Giannis (MIL),Jackson Jr. Jaren (MEM),Lopez Brook (MIL),Holiday Jrue (MIL),White Derrick (BOS),Green Draymond (GSW),Davis Anthony (LAL),Adebayo Bam (MIA),Caruso Alex (CHI),Edwards Anthony (MIN),2023,All-Defense
Vince Goodwill,Yahoo! Sports,Jackson Jr. Jaren (MEM),Mobley Evan (CLE),Lopez Brook (MIL),Holiday Jrue (MIL),Brooks Dillon (MEM),Antetokounmpo Giannis (MIL),Green Draymond (GSW),Adebayo Bam (MIA),White Derrick (BOS),Butler Jimmy (MIA),2023,All-Defense
Will Guillory,The Athletic,Anunoby O.G. (TOR),Jackson Jr. Jaren (MEM),Lopez Brook (MIL),Brooks Dillon (MEM),Holiday Jrue (MIL),Jones Herbert (NOP),McDaniels Jaden (MIN),Davis Anthony (LAL),Caruso Alex (CHI),White Derrick (BOS),2023,All-Defense
Yoav Modai,Sport 5,Jackson Jr. Jaren (MEM),Antetokounmpo Giannis (MIL),Lopez Brook (MIL),Holiday Jrue (MIL),Caruso Alex (CHI),Anunoby O.G. (TOR),Mobley Evan (CLE),Claxton Nic (BKN),Butler Jimmy (MIA),White Derrick (BOS),2023,All-Defense
Yoko Miyaji,Sports Graphic Number,Jackson Jr. Jaren (MEM),Anunoby O.G. (TOR),Lopez Brook (MIL),Holiday Jrue (MIL),Caruso Alex (CHI),Green Draymond (GSW),McDaniels Jaden (MIN),Mobley Evan (CLE),White Derrick (BOS),Brooks Dillon (MEM),2023,All-Defense
Zach Harper,The Athletic,Jackson Jr. Jaren (MEM),Adebayo Bam (MIA),Lopez Brook (MIL),Holiday Jrue (MIL),Caruso Alex (CHI),Mobley Evan (CLE),McDaniels Jaden (MIN),Green Draymond (GSW),White Derrick (BOS),Butler Jimmy (MIA),2023,All-Defense
Zach Lowe,ESPN,Mobley Evan (CLE),Jackson Jr. Jaren (MEM),Lopez Brook (MIL),Caruso Alex (CHI),White Derrick (BOS),Antetokounmpo Giannis (MIL),Anunoby O.G. (TOR),Green Draymond (GSW),Holiday Jrue (MIL),Jones Herbert (NOP),2023,All-Defense
Adam Himmelsbach,Boston Globe,"Antetokounmpo, Giannis (MIL)","Adebayo, Bam (MIA)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Bridges, Mikal (PHX)","Thybulle, Matisse (PHI)","Jackson Jr., Jaren (MEM)","Williams III, Robert (BOS)","Holiday, Jrue (MIL)","VanVleet, Fred (TOR)",2022,All-Defense
Anthony Chiang,Miami Herald,"Adebayo, Bam (MIA)","Jackson Jr., Jaren (MEM)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Bridges, Mikal (PHX)","Antetokounmpo, Giannis (MIL)","Mobley, Evan (CLE)","Williams III, Robert (BOS)","Thybulle, Matisse (PHI)","VanVleet, Fred (TOR)",2022,All-Defense
Anthony Slater,The Athletic,"Bridges, Mikal (PHX)","Jackson Jr., Jaren (MEM)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Holiday, Jrue (MIL)","Williams III, Robert (BOS)","Green, Draymond (GSW)","Adebayo, Bam (MIA)","Lowry, Kyle (MIA)","Thybulle, Matisse (PHI)",2022,All-Defense
Antoine Bancharel,L'Equipe / Canal+,"Adebayo, Bam (MIA)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Bridges, Mikal (PHX)","Jackson Jr., Jaren (MEM)","Mobley, Evan (CLE)","Embiid, Joel (PHI)","Holiday, Jrue (MIL)","Thybulle, Matisse (PHI)",2022,All-Defense
Antoni Daimiel,Movistar+,"Jackson Jr., Jaren (MEM)","Green, Draymond (GSW)","Williams III, Robert (BOS)","Smart, Marcus (BOS)","Bridges, Mikal (PHX)","Thybulle, Matisse (PHI)","Jones, Herbert (NOP)","Mobley, Evan (CLE)","Murray, Dejounte (SAS)","VanVleet, Fred (TOR)",2022,All-Defense
Bill Oram,The Athletic,"Bridges, Mikal (PHX)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Holiday, Jrue (MIL)","Adebayo, Bam (MIA)","Jackson Jr., Jaren (MEM)","Williams III, Robert (BOS)","Thybulle, Matisse (PHI)","Beverley, Patrick (MIN)",2022,All-Defense
Bill Reiter,CBSSports.com,"Adebayo, Bam (MIA)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Bridges, Mikal (PHX)","Jackson Jr., Jaren (MEM)","Williams III, Robert (BOS)","Embiid, Joel (PHI)","VanVleet, Fred (TOR)","Thybulle, Matisse (PHI)",2022,All-Defense
Bill Simmons,The Ringer,"Bridges, Mikal (PHX)","Jackson Jr., Jaren (MEM)","Adebayo, Bam (MIA)","Smart, Marcus (BOS)","Holiday, Jrue (MIL)","Green, Draymond (GSW)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","VanVleet, Fred (TOR)","Thybulle, Matisse (PHI)",2022,All-Defense
Brian Mahoney,Associated Press,"Bridges, Mikal (PHX)","Jackson Jr., Jaren (MEM)","Adebayo, Bam (MIA)","Smart, Marcus (BOS)","Holiday, Jrue (MIL)","Antetokounmpo, Giannis (MIL)","Williams III, Robert (BOS)","Gobert, Rudy (UTA)","Thybulle, Matisse (PHI)","Dosunmu, Ayo (CHI)",2022,All-Defense
Brian Windhorst,ESPN,"Antetokounmpo, Giannis (MIL)","Adebayo, Bam (MIA)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Bridges, Mikal (PHX)","Jackson Jr., Jaren (MEM)","Mobley, Evan (CLE)","Williams III, Robert (BOS)","Paul, Chris (PHX)","Holiday, Jrue (MIL)",2022,All-Defense
Callie Caplan,Dallas Morning News,"Antetokounmpo, Giannis (MIL)","Adebayo, Bam (MIA)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Bridges, Mikal (PHX)","Jackson Jr., Jaren (MEM)","Finney-Smith, Dorian (DAL)","Williams III, Robert (BOS)","Thybulle, Matisse (PHI)","Beverley, Patrick (MIN)",2022,All-Defense
Cassidy Hubbarth,ESPN,"Antetokounmpo, Giannis (MIL)","Adebayo, Bam (MIA)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Bridges, Mikal (PHX)","Finney-Smith, Dorian (DAL)","Jackson Jr., Jaren (MEM)","Williams III, Robert (BOS)","Thybulle, Matisse (PHI)","Holiday, Jrue (MIL)",2022,All-Defense
Chris Broussard,Fox Sports,"Jackson Jr., Jaren (MEM)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Bridges, Mikal (PHX)","Smart, Marcus (BOS)","Thybulle, Matisse (PHI)","Adebayo, Bam (MIA)","Embiid, Joel (PHI)","Murray, Dejounte (SAS)","Holiday, Jrue (MIL)",2022,All-Defense
Chris Fedor,Clevleand.com,"Antetokounmpo, Giannis (MIL)","Green, Draymond (GSW)","Adebayo, Bam (MIA)","Smart, Marcus (BOS)","Bridges, Mikal (PHX)","Mobley, Evan (CLE)","Jackson Jr., Jaren (MEM)","Gobert, Rudy (UTA)","Holiday, Jrue (MIL)","Thybulle, Matisse (PHI)",2022,All-Defense
Chris Herring,Sports Illustrated,"Antetokounmpo, Giannis (MIL)","Adebayo, Bam (MIA)","Gobert, Rudy (UTA)","Bridges, Mikal (PHX)","Smart, Marcus (BOS)","Jackson Jr., Jaren (MEM)","Jones, Herbert (NOP)","Williams III, Robert (BOS)","Thybulle, Matisse (PHI)","VanVleet, Fred (TOR)",2022,All-Defense
Chris Kirschner,The Athletic,"Jackson Jr., Jaren (MEM)","Antetokounmpo, Giannis (MIL)","Adebayo, Bam (MIA)","Smart, Marcus (BOS)","Bridges, Mikal (PHX)","Embiid, Joel (PHI)","Williams III, Robert (BOS)","Gobert, Rudy (UTA)","VanVleet, Fred (TOR)","Thybulle, Matisse (PHI)",2022,All-Defense
Chris Mannix,Sports Illustrated,"Adebayo, Bam (MIA)","Green, Draymond (GSW)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Bridges, Mikal (PHX)","Antetokounmpo, Giannis (MIL)","Jackson Jr., Jaren (MEM)","Williams III, Robert (BOS)","VanVleet, Fred (TOR)","Holiday, Jrue (MIL)",2022,All-Defense
Christos Tsaltas,SDNA.gr,"Adebayo, Bam (MIA)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Caruso, Alex (CHI)","Smart, Marcus (BOS)","Jackson Jr., Jaren (MEM)","Bridges, Mikal (PHX)","Ayton, Deandre (PHX)","Thybulle, Matisse (PHI)","Booker, Devin (PHX)",2022,All-Defense
Daisuke Sugiura,Nihon Keizai Shimbun,"Adebayo, Bam (MIA)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Bridges, Mikal (PHX)","Williams III, Robert (BOS)","Thybulle, Matisse (PHI)","Jackson Jr., Jaren (MEM)","VanVleet, Fred (TOR)","Holiday, Jrue (MIL)",2022,All-Defense
Dan Devine,The Ringer,"Adebayo, Bam (MIA)","Jackson Jr., Jaren (MEM)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Bridges, Mikal (PHX)","Williams III, Robert (BOS)","Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Thybulle, Matisse (PHI)","VanVleet, Fred (TOR)",2022,All-Defense
Dave McMenamin,ESPN,"Bridges, Mikal (PHX)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Holiday, Jrue (MIL)","Jackson Jr., Jaren (MEM)","Adebayo, Bam (MIA)","Embiid, Joel (PHI)","Beverley, Patrick (MIN)","Murray, Dejounte (SAS)",2022,All-Defense
Dave Pasch,ESPN,"Antetokounmpo, Giannis (MIL)","Jackson Jr., Jaren (MEM)","Embiid, Joel (PHI)","Smart, Marcus (BOS)","Bridges, Mikal (PHX)","Adebayo, Bam (MIA)","Williams III, Robert (BOS)","Gobert, Rudy (UTA)","Holiday, Jrue (MIL)","Thybulle, Matisse (PHI)",2022,All-Defense
David Aldridge,The Athletic,"Antetokounmpo, Giannis (MIL)","Bridges, Mikal (PHX)","Jackson Jr., Jaren (MEM)","Smart, Marcus (BOS)","Thybulle, Matisse (PHI)","Williams III, Robert (BOS)","Adebayo, Bam (MIA)","Gobert, Rudy (UTA)","Payton II, Gary (GSW)","VanVleet, Fred (TOR)",2022,All-Defense
Davide Chinellato,La Gazzetta dello Sport,"Bridges, Mikal (PHX)","Jackson Jr., Jaren (MEM)","Williams III, Robert (BOS)","Smart, Marcus (BOS)","Holiday, Jrue (MIL)","Antetokounmpo, Giannis (MIL)","Green, Draymond (GSW)","Gobert, Rudy (UTA)","Murray, Dejounte (SAS)","Thybulle, Matisse (PHI)",2022,All-Defense
Dennis Scott,Turner,"Antetokounmpo, Giannis (MIL)","Brown, Jaylen (BOS)","Jackson Jr., Jaren (MEM)","Holiday, Jrue (MIL)","Smart, Marcus (BOS)","Bane, Desmond (MEM)","Barnes, Scottie (TOR)","Adebayo, Bam (MIA)","Paul, Chris (PHX)","Murray, Dejounte (SAS)",2022,All-Defense
